GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06
1600000US0640354,0640354,"La Quinta city, California",27794,2167,55920,4923,90161,6006,146206,6942,,
310M300US10100,10100,"Aberdeen, SD Micro Area",24106,2012,43064,2586,68480,3310,100118,4226,178615,19617
310M300US10140,10140,"Aberdeen, WA Micro Area",19637,1746,35832,1603,55115,2873,86806,2588,144179,10397
310M300US10180,10180,"Abilene, TX Metro Area",19411,945,36913,1069,57371,1521,90669,2771,159334,5796
310M300US10220,10220,"Ada, OK Micro Area",18795,993,34092,2002,55597,1984,85929,3130,136228,8570
310M300US10260,10260,"Adjuntas, PR Micro Area",,,8405,886,15226,1494,31257,2732,59509,7324
310M300US10300,10300,"Adrian, MI Micro Area",22160,929,39542,1131,60493,1408,91243,2267,146565,2531
310M300US10380,10380,"Aguadilla-Isabela, PR Metro Area",5264,313,11813,322,20486,616,35908,881,64658,1684
310M300US10420,10420,"Akron, OH Metro Area",21282,403,40801,478,64233,696,102238,1216,181793,2966
310M300US10460,10460,"Alamogordo, NM Micro Area",16259,911,31539,1934,50641,1847,77950,3773,131515,9048
310M300US10500,10500,"Albany, GA Metro Area",14683,887,29588,1142,49646,1579,82459,2199,151597,4023
310M300US10540,10540,"Albany, OR Metro Area",20056,1040,36908,1317,58182,1620,86448,2148,139563,7519
310M300US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",26641,446,50818,517,78970,757,120067,1270,200971,3039
310M300US10620,10620,"Albemarle, NC Micro Area",18850,1180,34478,1754,55058,2123,86064,2249,137351,5338
310M300US10660,10660,"Albert Lea, MN Micro Area",23666,1753,40094,1657,59262,1399,89243,2618,146353,7690
310M300US10700,10700,"Albertville, AL Micro Area",17913,784,30978,985,49655,1563,81838,2764,148085,7409
310M300US10740,10740,"Albuquerque, NM Metro Area",19860,436,38442,772,62297,885,99918,1131,178817,3266
310M300US10760,10760,"Alexander City, AL Micro Area",15307,1181,30154,1908,51091,2526,78115,2899,139809,8467
310M300US10780,10780,"Alexandria, LA Metro Area",17261,721,32507,1152,53614,1789,86988,2791,154265,5243
310M300US10820,10820,"Alexandria, MN Micro Area",24882,1280,45329,1867,69966,2287,102356,3789,177542,8801
310M300US10860,10860,"Alice, TX Micro Area",16642,1748,31658,2953,56399,5618,95636,10245,165396,12812
310M300US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",26532,404,48660,615,74505,756,114157,1093,198437,3453
310M300US10940,10940,"Alma, MI Micro Area",17961,996,33746,1690,52105,1437,80914,1807,137213,6076
310M300US10980,10980,"Alpena, MI Micro Area",16970,919,31627,1393,48200,1968,77145,3810,123996,5076
310M300US11020,11020,"Altoona, PA Metro Area",19367,667,35007,861,55828,1204,86460,1313,144561,5235
310M300US11060,11060,"Altus, OK Micro Area",19635,2029,35778,1754,55907,4012,84982,3737,147060,15809
310M300US11100,11100,"Amarillo, TX Metro Area",22049,676,40904,810,63753,1131,101968,1741,172432,4085
310M300US11140,11140,"Americus, GA Micro Area",12723,1812,25278,2682,45227,3947,75620,6856,130049,11224
310M300US11180,11180,"Ames, IA Metro Area",17760,1132,38861,1376,65425,2074,102182,2594,178404,10083
310M300US11220,11220,"Amsterdam, NY Micro Area",18412,902,34122,2066,55999,1811,87252,3110,144059,6814
310M300US11260,11260,"Anchorage, AK Metro Area",36746,960,64389,818,96504,1441,142938,2424,235493,5439
