GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06
3100000US47220,47220,"Vineland-Millville-Bridgeton, NJ Metro Area",18292,1580,36968,2513,59537,2640,89298,3517,145695,5829
3100000US47260,47260,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",25341,383,44216,650,65822,577,97704,1085,159982,2248
3100000US47300,47300,"Visalia-Porterville, CA Metro Area",18692,766,32613,739,51407,1378,83600,2302,143336,5523
3100000US47340,47340,"Wabash, IN Micro Area",22871,1344,35340,2551,51010,2744,74402,4639,122480,7367
3100000US47380,47380,"Waco, TX Metro Area",15783,845,30867,1010,49009,1434,75235,1921,132656,5748
3100000US47420,47420,"Wahpeton, ND-MN Micro Area",21869,3163,38192,2694,54000,2922,81794,3612,124982,7738
3100000US47460,47460,"Walla Walla, WA Micro Area",16557,2730,32855,2388,52812,3281,80381,4113,128152,10254
3100000US47500,47500,"Walterboro, SC Micro Area",13031,1890,26980,1591,40257,4484,63499,3915,100235,10249
3100000US47540,47540,"Wapakoneta, OH Micro Area",24215,2191,43200,3192,60556,2173,86291,3399,135284,10264
3100000US47580,47580,"Warner Robins, GA Metro Area",22001,2279,41679,2243,63847,2583,92618,3548,148515,8482
3100000US47620,47620,"Warren, PA Micro Area",19670,1293,32465,1719,48576,2046,70321,3165,112886,2580
3100000US47660,47660,"Warrensburg, MO Micro Area",19362,2790,34160,2869,53475,3253,74951,3257,122366,7028
3100000US47700,47700,"Warsaw, IN Micro Area",24274,3002,41483,1602,56472,2517,81653,4080,142468,14141
3100000US47780,47780,"Washington, IN Micro Area",18213,1848,32370,1349,46941,5713,71816,6648,110760,6251
3100000US47820,47820,"Washington, NC Micro Area",16469,2516,30928,2049,48389,2703,77753,4090,126286,14693
3100000US47860,47860,"Washington, OH Micro Area",18160,2027,34761,2770,50509,2300,76551,2970,118307,4414
3100000US47900,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",37574,369,65432,445,98644,570,148868,905,256320,2762
3100000US47940,47940,"Waterloo-Cedar Falls, IA Metro Area",19298,1112,34968,1337,53964,1083,79360,2345,132912,5724
3100000US47980,47980,"Watertown, SD Micro Area",18649,1692,33592,2907,49456,4824,77416,5971,119146,11882
3100000US48020,48020,"Watertown-Fort Atkinson, WI Micro Area",25527,2040,43598,1684,63375,1485,88847,1950,136754,5615
3100000US48060,48060,"Watertown-Fort Drum, NY Micro Area",18065,1414,32655,1460,50781,1473,75193,2441,124636,6721
3100000US48100,48100,"Wauchula, FL Micro Area",19445,4040,32007,4290,46112,3556,66082,7315,112229,15411
3100000US48140,48140,"Wausau, WI Metro Area",24843,1056,42628,1263,62000,1621,87846,1290,144918,7376
3100000US48180,48180,"Waycross, GA Micro Area",12443,1226,25249,2361,43710,4980,68600,4948,110854,7438
3100000US48260,48260,"Weirton-Steubenville, WV-OH Metro Area",16777,1104,30189,1108,45936,1752,71144,2969,116692,4864
3100000US48300,48300,"Wenatchee, WA Metro Area",21140,1195,35554,1320,54685,2321,82832,3092,133539,11297
3100000US48340,48340,"West Helena, AR Micro Area",9925,989,20479,2601,31931,3492,53087,4057,98814,9383
3100000US48460,48460,"West Plains, MO Micro Area",13935,1699,23678,2499,37951,2472,58122,2504,92381,7209
3100000US48500,48500,"West Point, MS Micro Area",9809,2508,21961,3121,36761,3331,54341,7041,98268,7383
3100000US48540,48540,"Wheeling, WV-OH Metro Area",14946,905,27842,1289,43532,1493,70044,2242,116947,4517
3100000US48580,48580,"Whitewater, WI Micro Area",22889,1755,42676,2602,62760,2036,93162,3396,158278,10750
3100000US48620,48620,"Wichita, KS Metro Area",21084,490,37829,544,57623,607,88804,1401,146812,4368
3100000US48660,48660,"Wichita Falls, TX Metro Area",18105,913,33960,952,50357,1725,79139,2356,134442,9483
3100000US48700,48700,"Williamsport, PA Metro Area",18060,935,31372,1329,48692,1632,73290,2080,120901,4460
3100000US48740,48740,"Willimantic, CT Micro Area",24494,1812,43550,2032,64557,2335,93458,3303,142215,7356
3100000US48820,48820,"Willmar, MN Micro Area",21301,2188,38488,2503,58275,2292,83574,3550,144309,10756
3100000US48900,48900,"Wilmington, NC Metro Area",19016,1057,35301,829,53874,1385,85016,2076,156772,7146
3100000US48940,48940,"Wilmington, OH Micro Area",20136,2422,37719,3236,56076,3394,80212,3588,119717,10758
