"state","puma12","cbsa","stab","cbsaname15","PUMAname","pop10","afact"
"FIPS state","puma12","CBSA current as of CBSAyr","State Postal Code","2015 CBSA Name","PUMA12 Name","Total Pop, 2010 census","puma12 to cbsa alloc factor"
"02","00200","11260","AK","Anchorage, AK (Metro)","Matanuska-Susitna & Kenai Peninsula Boroughs",88995,0.616 
"02","00300"," ","AK"," ","Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska",21967,0.134 
"02","00300","21820","AK","Fairbanks, AK (Metro)","Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska",97581,0.594 
"02","00300","27940","AK","Juneau, AK (Micro)","Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska",31275,0.19 
"02","00300","28540","AK","Ketchikan, AK (Micro)","Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska",13477,0.082 
"02","00400"," ","AK"," ","Subsistence Alaska",109710,1 
"04","00100","38060","AZ","Phoenix-Mesa-Scottsdale, AZ (Metro)","Maricopa County--Gilbert (South) & Queen Creek Towns",111283,1 
"04","00101","38060","AZ","Phoenix-Mesa-Scottsdale, AZ (Metro)","Maricopa County--Mesa City (East)",146304,1 
"04","00102","38060","AZ","Phoenix-Mesa-Scottsdale, AZ (Metro)","Maricopa County--Mesa City (North Central)",131113,1 
"04","00103","38060","AZ","Phoenix-Mesa-Scottsdale, AZ (Metro)","Maricopa County--Mesa City (West)",106091,1 
"04","00104","38060","AZ","Phoenix-Mesa-Scottsdale, AZ (Metro)","Maricopa County--Mesa City (South Central)",100229,1 
"04","00105","38060","AZ","Phoenix-Mesa-Scottsdale, AZ (Metro)","Maricopa County--Gilbert Town (North)",135319,1 
"04","00106","38060","AZ","Phoenix-Mesa-Scottsdale, AZ (Metro)","Maricopa County--Chandler City (Northeast)",114036,1 
"04","00107","38060","AZ","Phoenix-Mesa-Scottsdale, AZ (Metro)","Maricopa County--Chandler City (South)",100430,1 
"04","00108","38060","AZ","Phoenix-Mesa-Scottsdale, AZ (Metro)","Maricopa County--Tempe (South) & Chandler (Northwest) Cities",101048,1 
"04","00109","38060","AZ","Phoenix-Mesa-Scottsdale, AZ (Metro)","Maricopa County--Tempe City (North)",102150,1 
"04","00110","38060","AZ","Phoenix-Mesa-Scottsdale, AZ (Metro)","Maricopa County--Scottsdale City (Southwest) & Paradise Valley Town",116958,1 
"04","00111","38060","AZ","Phoenix-Mesa-Scottsdale, AZ (Metro)","Maricopa County (Northeast)--Scottsdale City (Southeast) & Fountain Hills Town",104877,1 
"04","00112","38060","AZ","Phoenix-Mesa-Scottsdale, AZ (Metro)","Maricopa County--Scottsdale (North), Phoenix (Far Northeast) Cities & Cave Creek",105478,1 
"04","00113","38060","AZ","Phoenix-Mesa-Scottsdale, AZ (Metro)","Phoenix City (Northeast)",102189,1 
"04","00114","38060","AZ","Phoenix-Mesa-Scottsdale, AZ (Metro)","Phoenix City (Northeast Central)",103639,1 
"04","00115","38060","AZ","Phoenix-Mesa-Scottsdale, AZ (Metro)","Phoenix City (Northwest Central)",101757,1 
"04","00116","38060","AZ","Phoenix-Mesa-Scottsdale, AZ (Metro)","Phoenix City (Uptown)",100212,1 
"04","00117","38060","AZ","Phoenix-Mesa-Scottsdale, AZ (Metro)","Phoenix City (East)",100444,1 
"04","00118","38060","AZ","Phoenix-Mesa-Scottsdale, AZ (Metro)","Phoenix City--Downtown & Sky Harbor International Airport",108714,1 
"04","00119","38060","AZ","Phoenix-Mesa-Scottsdale, AZ (Metro)","Phoenix City (South)",105514,1 
"04","00120","38060","AZ","Phoenix-Mesa-Scottsdale, AZ (Metro)","Phoenix City--Ahwatukee & South Mountain",100182,1 
"04","00121","38060","AZ","Phoenix-Mesa-Scottsdale, AZ (Metro)","Phoenix (Southwest) & Tolleson Cities",123745,1 
"04","00122","38060","AZ","Phoenix-Mesa-Scottsdale, AZ (Metro)","Phoenix City--Maryvale (East)",104327,1 
