"cbsa","state","puma12","stab","cbsaname15","PUMAname","pop14","afact"
"CBSA current as of CBSAyr","FIPS state","puma12","State Postal Code","2015 CBSA Name","PUMA12 Name","Pop 2014 estimate fr county level ests","cbsa to puma12 alloc factor"
" ","05","01600","AR"," ","Garland, Hot Spring, Clark & Montgomery Counties",9082,0 
" ","05","01700","AR"," ","Jefferson, Grant & Arkansas (Northwest) Counties",11185.339,0.001 
" ","05","01800","AR"," ","Southeast Arkansas",81570.661,0.004 
" ","05","01900","AR"," ","South Central Arkansas",7755,0 
" ","05","02000","AR"," ","Southwest Arkansas",18135,0.001 
" ","06","00300","CA"," ","Alpine, Amador, Calaveras, Inyo, Mariposa, Mono & Tuolumne Counties",132571,0.007 
" ","06","01100","CA"," ","Colusa, Glenn, Tehama & Trinity Counties",62544,0.003 
" ","06","01500","CA"," ","Del Norte, Lassen, Modoc, Plumas & Siskiyou Counties",71257,0.004 
" ","06","05700","CA"," ","Nevada & Sierra Counties",3003,0 
" ","08","00100","CO"," ","Northeast Colorado--Eastern Plains Region",49538,0.003 
" ","08","00200","CO"," ","Northwest Colorado--Garfield, Routt, Moffat & Rio Blanco Counties",6707,0 
" ","08","00400","CO"," ","Eagle, Summit, Grand & Jackson Counties",15942,0.001 
" ","08","00600","CO"," ","Fremont, Chaffee, Park, Lake, Huerfano, Pueblo (Southwest) & Custer Counties",36543,0.002 
" ","08","00800","CO"," ","Southeast Colorado",94730,0.005 
" ","08","00900","CO"," ","La Plata, Montezuma, Gunnison, Archuleta, Dolores, Hinsdale & San Juan Counties",57225,0.003 
" ","08","01002","CO"," ","Mesa (Outside Grand Junction City), Montrose, Delta, San Miguel & Ouray Counties",42339,0.002 
" ","12","00500","FL"," ","Walton, Washington, Holmes & Bay Counties",44101,0.002 
" ","12","02300","FL"," ","Columbia, Levy, Bradford, Gilchrist, Dixie & Union Counties",97412,0.005 
" ","12","06300","FL"," ","Apalachee Region (Outside Leon County)",83508,0.005 
" ","12","09300","FL"," ","Southeast Heartland--Highlands (South & East), Okeechobee, Hendry & Glades Counties",13635,0.001 
" ","12","12100","FL"," ","Suwannee, Taylor, Madison, Hamilton & Lafayette Counties",108005,0.006 
" ","13","00300","GA"," ","Coastal Regional Commission (North)--Bulloch, Effingham & Screven Counties",14085,0.001 
" ","13","00500","GA"," ","Southern Georgia Regional Commission (East & Central)",39232,0.002 
" ","13","00700","GA"," ","Southern Georgia Regional Commission (West)",53171,0.003 
" ","13","01100","GA"," ","Southwest Georgia Regional Commission (West & Central)",79728,0.004 
" ","13","01200","GA"," ","Heart of Georgia Altamaha Regional Commission (Southeast)",94034,0.005 
" ","13","01300","GA"," ","Heart of Georgia Altamaha Regional Commission (North & West)",83039,0.005 
" ","13","01600","GA"," ","Middle Georgia Regional Commission (North & Outside Bibb County)",30518,0.002 
" ","13","01800","GA"," ","River Valley Regional Commission (Outside Muscogee & Chattahoochee Counties)",61620,0.003 
" ","13","02800","GA"," ","Northwest Georgia Regional Commission (Northeast)",52582,0.003 
" ","13","03200","GA"," ","Georgia Mountains Regional Commission (North & Northwest)",108471,0.006 
" ","13","03500","GA"," ","Georgia Mountains Regional Commission (Southeast)",65936,0.004 
" ","13","03700","GA"," ","Northeast Georgia Regional Commission (East)",35928,0.002 
" ","13","04200","GA"," ","Central Savannah River Area Regional Commission (West & Outside Richmond & Columbia)",66238,0.004 
" ","16","00100","ID"," ","Bonner, Latah, Shoshone, Boundary, Benewah & Kootenai (Southeast) Counties",32487,0.002 
" ","16","00300","ID"," ","Central Idaho--Lewiston City & Nez Perce Reservation",55035,0.003 
" ","16","00400","ID"," ","Ada (North), Payette, Canyon (North), Gem & Washington Counties--Eagle City",10021,0.001 
" ","16","01000","ID"," ","Elmore, Jerome, Blaine, Minidoka, Gooding, Lincoln & Camas Counties",15064,0.001 
" ","16","01300","ID"," ","Southeast Idaho--Pocatello, Chubbuck Cities & Fort Hall Reservation",24595,0.001 
" ","17","00104","IL"," ","Jo Daviess, Carroll, Whiteside & Lee Counties",36969,0.002 
" ","17","00202","IL"," ","Henry, Mercer, Henderson, Warren, Hancock, McDonough & Fulton Counties",17874,0.001 
" ","17","00300","IL"," ","Adams, Pike, Brown, Schuyler & Mason Counties",44082,0.002 
