"state","puma12","cbsa","stab","cbsaname15","PUMAname","pop10","afact"
"FIPS state","puma12","CBSA current as of CBSAyr","State Postal Code","2015 CBSA Name","PUMA12 Name","Total Pop, 2010 census","puma12 to cbsa alloc factor"
"06","03704","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County (North Central)--Palmdale City",164268,1 
"06","03705","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County (North)--LA City (Northwest/Chatsworth & Porter Ranch)",166932,1 
"06","03706","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County (North)--LA City (North Central/Granada Hills & Sylmar)",136414,1 
"06","03707","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County--LA (North Central/Arleta & Pacoima) & San Fernando Cities",150967,1 
"06","03708","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County (North)--LA City (Northeast/Sunland, Sun Valley & Tujunga)",136833,1 
"06","03709","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County (Central)--San Gabriel Valley Region (North)",110202,1 
"06","03710","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County--Baldwin Park, Azusa, Duarte & Irwindale Cities",174037,1 
"06","03711","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County (East Central)--Glendora, Claremont, San Dimas & La Verne Cities",163941,1 
"06","03712","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County (East Central)--Pomona City",146895,1 
"06","03713","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County (East Central)--Covina & Walnut Cities",109666,1 
"06","03714","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County--Diamond Bar, La Habra Heights (East) Cities & Rowland Heights",109128,1 
"06","03715","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County (East Central)--West Covina City",120111,1 
"06","03716","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County (East Central)--La Puente & Industry Cities",110351,1 
"06","03717","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County (East Central)--Arcadia, San Gabriel & Temple City Cities",189098,1 
"06","03718","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County (Central)--Pasadena City",135128,1 
"06","03719","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County (Central)--Glendale City",190790,1 
"06","03720","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County (Central)--Burbank City",118143,1 
"06","03721","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County (North)--LA City (Northeast/North Hollywood & Valley Village)",133453,1 
"06","03722","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County (Northwest)--LA City (North Central/Van Nuys & North Sherman Oaks)",159310,1 
"06","03723","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County (North)--LA City (North Central/Mission Hills & Panorama City)",141253,1 
"06","03724","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County (Northwest)--LA City (Northwest/Encino & Tarzana)",167320,1 
"06","03725","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County--LA City (Northwest/Canoga Park, Winnetka & Woodland Hills)",168469,1 
"06","03726","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County--Calabasas, Agoura Hills, Malibu & Westlake Village Cities",101503,1 
"06","03727","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County (Central)--LA City (Central/Pacific Palisades)",151268,1 
"06","03728","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County (Southwest)--Santa Monica City",102511,1 
"06","03729","31080","CA","Los Angeles-Long Beach-Anaheim, CA (Metro)","Los Angeles County (West Central)--LA City (West Central/Westwood & West Los Angeles)",195763,1 
