GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06
310M300US48660,48660,"Wichita Falls, TX Metro Area",18769,3006,34536,2988,53605,2912,89213,8679,157240,7910
310M300US48700,48700,"Williamsport, PA Metro Area",22631,2058,40268,3587,58952,2527,91313,2366,145996,8012
310M300US48900,48900,"Wilmington, NC Metro Area",19467,1668,36691,1252,61103,3283,100039,4201,196451,16605
310M300US49020,49020,"Winchester, VA-WV Metro Area",32169,2674,51428,1725,71919,6058,115066,7637,182472,18256
310M300US49180,49180,"Winston-Salem, NC Metro Area",20582,1006,38192,1642,58987,1415,92477,2726,172255,11664
310M300US49340,49340,"Worcester, MA-CT Metro Area",26959,1034,51612,1167,86499,1665,131561,2470,233716,9743
310M300US49420,49420,"Yakima, WA Metro Area",22645,2166,39697,2541,59066,3631,91992,4667,153133,11293
310M300US49620,49620,"York-Hanover, PA Metro Area",28307,1774,51576,1389,74180,2628,110863,3155,180574,13275
310M300US49660,49660,"Youngstown-Warren-Boardman, OH-PA Metro Area",19374,919,35488,1104,55603,1896,87920,2092,148234,8773
310M300US49700,49700,"Yuba City, CA Metro Area",22748,1547,39561,2731,61625,2704,100685,6130,176593,7429
310M300US49740,49740,"Yuma, AZ Metro Area",20977,2624,35574,2866,54533,4598,86670,3056,139529,22179
